YEAR,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,OP_CARRIER_AIRLINE_ID,TAIL_NUM,ORIGIN_AIRPORT_ID,DEST_AIRPORT_ID,CRS_DEP_TIME,DEP_DELAY,DEP_DELAY_NEW,DEP_DEL15,DEP_DELAY_GROUP,CANCELLED,CANCELLATION_CODE,DIVERTED,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY
2025,6,29,7,19790,N199DN,12478,12892,1805,6,6,0,0,0,,0,,,,,
2025,6,29,7,19790,N775DE,12478,13303,1805,34,34,1,2,0,,0,0,0,35,0,0
2025,6,29,7,19790,N576DN,12478,14057,1810,-6,0,0,-1,0,,0,,,,,
2025,6,29,7,19805,N939NN,12478,13303,1819,152,152,1,10,0,,0,0,0,3,0,127
2025,6,29,7,19790,N860DN,12478,10423,1820,40,40,1,2,0,,0,11,0,0,0,16
2025,6,29,7,19805,N124AA,12478,11298,1820,24,24,1,1,0,,0,2,0,0,0,21
2025,6,29,7,20409,N965JT,12478,14893,1825,-2,0,0,-1,0,,0,,,,,
2025,6,29,7,20409,N760JB,12478,13204,1830,100,100,1,6,0,,0,0,0,76,0,3
2025,6,29,7,20409,N3215J,12478,14570,1835,60,60,1,4,0,,0,4,0,0,0,45
2025,6,29,7,19790,N581DA,12478,14869,1840,16,16,1,1,0,,0,,,,,
2025,6,29,7,19790,N364NB,12478,13487,1845,-3,0,0,-1,0,,0,,,,,
2025,6,29,7,20409,N531JL,12478,10140,1845,55,55,1,3,0,,0,0,0,63,0,0
2025,6,29,7,20409,N3242J,12478,14027,1850,58,58,1,3,0,,0,49,0,15,0,9
2025,6,29,7,20409,N633JB,12478,15304,1850,14,14,0,0,0,,0,,,,,
2025,6,29,7,20409,N954JB,12478,13891,1850,90,90,1,6,0,,0,32,25,0,0,0
2025,6,29,7,19930,N481AS,12478,14747,1853,5,5,0,0,0,,0,,,,,
2025,6,29,7,20409,N977JE,12478,12892,1859,11,11,0,0,0,,0,,,,,
2025,6,29,7,19790,N543DE,12478,14747,1910,-2,0,0,-1,0,,0,,,,,
2025,6,29,7,19790,N923DZ,12478,15304,1915,194,194,1,12,0,,0,0,148,0,0,0
2025,6,29,7,19790,N580DT,12478,12889,1920,-6,0,0,-1,0,,0,,,,,
2025,6,29,7,20409,N509JB,12478,14869,1922,-1,0,0,-1,0,,0,,,,,
2025,6,29,7,19790,N840MH,12478,12892,1925,143,143,1,9,0,,0,97,0,0,0,0
2025,6,29,7,20409,N3062J,12478,10721,1925,34,34,1,2,0,,0,,,,,
2025,6,29,7,19790,N333NB,12478,11433,1930,0,0,0,0,0,,0,,,,,
2025,6,29,7,19790,N521DT,12478,14843,1930,2,2,0,0,0,,0,,,,,
2025,6,29,7,20452,N210JQ,12478,13930,1930,-3,0,0,-1,0,,0,,,,,
2025,6,29,7,20409,N975JT,12478,14843,1940,17,17,1,1,0,,0,,,,,
2025,6,29,7,19805,N105NN,12478,12892,1950,-5,0,0,-1,0,,0,,,,,
2025,6,29,7,20409,N990JL,12478,14771,1950,-1,0,0,-1,0,,0,,,,,
2025,6,29,7,20452,N222JQ,12478,14122,1950,3,3,0,0,0,,0,,,,,
2025,6,29,7,20409,N947JB,12478,12889,1954,103,103,1,6,0,,0,13,0,0,0,64
